"Index","Red","Green","Blue"
"0","8902","3","13"
"1","2457","1","5"
"2","2842","6","2"
"3","3130","3","5"
"4","3583","8","9"
"5","3945","10","9"
"6","4237","11","19"
"7","4535","12","19"
"8","4581","19","18"
"9","4857","30","28"
"10","4805","40","45"
"11","4704","44","50"
"12","4693","54","52"
"13","4505","72","77"
"14","4444","106","104"
"15","4429","116","130"
"16","4173","147","137"
"17","4131","188","188"
"18","4027","250","253"
"19","3921","328","286"
"20","3744","436","362"
"21","3621","596","454"
"22","3594","766","632"
"23","3530","1008","792"
"24","3556","1416","956"
"25","3457","1857","1232"
"26","3389","2409","1547"
"27","3340","3159","1931"
"28","3322","3960","2295"
"29","3287","4888","2917"
"30","3249","5129","3500"
"31","3182","4957","4275"
"32","3009","4531","4928"
"33","2951","4001","5659"
"34","2952","3730","6457"
"35","2817","3585","6626"
"36","2835","3480","6412"
"37","2690","3349","5820"
"38","2694","3399","5193"
"39","2661","3265","4693"
"40","2681","3194","4321"
"41","2543","3191","4137"
"42","2534","3059","3945"
"43","2563","3102","4036"
"44","2478","3028","3972"
"45","2598","2943","3997"
"46","2498","2921","3977"
"47","2446","2999","4002"
"48","2490","2845","3998"
"49","2441","2861","4210"
"50","2443","2822","4132"
"51","2486","2870","4386"
"52","2546","2970","4403"
"53","2574","2922","4577"
"54","2625","2921","4660"
"55","2585","2903","4801"
"56","2521","2933","5082"
"57","2550","2989","5085"
"58","2543","3070","5216"
"59","2475","3105","5266"
"60","2560","3082","5439"
"61","2581","3124","5608"
"62","2548","3182","5566"
"63","2531","3239","5780"
"64","2498","3285","5941"
"65","2571","3358","5862"
"66","2501","3362","5989"
"67","2505","3371","6044"
"68","2469","3378","6086"
"69","2504","3348","6298"
"70","2517","3444","6311"
"71","2557","3348","6493"
"72","2385","3378","6488"
"73","2370","3398","6572"
"74","2474","3389","6708"
"75","2380","3373","6723"
"76","2312","3256","6859"
"77","2448","3293","7021"
"78","2489","3299","7041"
"79","2400","3237","7122"
"80","2405","3268","7125"
"81","2413","3274","7128"
"82","2408","3269","7285"
"83","2464","3203","7418"
"84","2580","3317","7396"
"85","2545","3191","7380"
"86","2464","3286","7587"
"87","2490","3152","7496"
"88","2579","3341","7658"
"89","2533","3152","7459"
"90","2532","3274","7532"
"91","2621","3214","7415"
"92","2524","3280","7526"
"93","2596","3296","7310"
"94","2612","3377","7238"
"95","2602","3346","7367"
"96","2675","3273","7150"
"97","2593","3326","7217"
"98","2603","3409","7332"
"99","2549","3343","7103"
"100","2616","3410","7072"
"101","2547","3506","6909"
"102","2538","3599","6931"
"103","2596","3665","6880"
"104","2536","3659","6904"
"105","2535","3754","6858"
"106","2529","3839","7046"
"107","2565","3866","7058"
"108","2564","3921","6990"
"109","2442","4077","6861"
"110","2532","4251","6793"
"111","2511","4155","6974"
"112","2565","4403","6973"
"113","2523","4462","7007"
"114","2478","4548","6993"
"115","2475","4569","6968"
"116","2331","4601","7131"
"117","2506","4777","6993"
"118","2374","4835","6949"
"119","2400","4954","6958"
"120","2504","5082","6702"
"121","2437","5135","6578"
"122","2469","5034","6642"
"123","2449","5219","6236"
"124","2390","5332","6186"
"125","2385","5377","5915"
"126","2459","5630","5664"
"127","2528","5429","5679"
"128","2510","5489","5264"
"129","2594","5477","5095"
"130","2540","5592","4904"
"131","2595","5795","4832"
"132","2554","5854","4512"
"133","2664","5812","4495"
"134","2737","5983","4375"
"135","2688","5928","4278"
"136","2732","6036","4090"
"137","2668","6123","3928"
"138","2708","5984","3748"
"139","2761","6175","3717"
"140","2857","5994","3473"
"141","2893","5962","3456"
"142","2802","5734","3425"
"143","2880","5614","3240"
"144","2889","5461","3140"
"145","3084","5458","3080"
"146","3113","5370","3066"
"147","3056","5154","2793"
"148","3184","5093","2673"
"149","3206","5072","2605"
"150","3107","4979","2543"
"151","3229","4819","2425"
"152","3164","4811","2364"
"153","3284","4705","2325"
"154","3269","4567","2369"
"155","3345","4662","2239"
"156","3205","4553","2137"
"157","3312","4408","2117"
"158","3236","4393","1975"
"159","3209","4348","1953"
"160","3312","4410","2009"
"161","3412","4378","1882"
"162","3326","4112","1742"
"163","3307","4268","1747"
"164","3427","4112","1668"
"165","3262","4158","1557"
"166","3251","4107","1517"
"167","3086","4026","1461"
"168","3045","3943","1434"
"169","3028","3937","1374"
"170","3053","3963","1384"
"171","3032","3891","1309"
"172","3169","3807","1251"
"173","3259","3883","1197"
"174","3273","3798","1116"
"175","3257","3785","1109"
"176","3373","3752","985"
"177","3298","3845","1046"
"178","3248","3674","1003"
"179","3402","3796","983"
"180","3394","3697","903"
"181","3314","3589","835"
"182","3352","3644","850"
"183","3284","3578","807"
"184","3258","3621","825"
"185","3332","3489","788"
"186","3427","3609","753"
"187","3410","3597","718"
"188","3238","3541","710"
"189","3395","3520","692"
"190","3408","3521","675"
"191","3511","3466","589"
"192","3692","3492","603"
"193","3541","3523","523"
"194","3635","3527","598"
"195","3566","3499","544"
"196","3603","3429","439"
"197","3502","3534","463"
"198","3704","3455","414"
"199","3614","3525","385"
"200","3776","3520","390"
"201","3610","3410","314"
"202","3656","3324","304"
"203","3630","3299","307"
"204","3706","3259","255"
"205","3735","3130","255"
"206","3643","2966","211"
"207","3674","2937","209"
"208","3650","2812","167"
"209","3672","2624","145"
"210","3733","2577","166"
"211","3858","2533","115"
"212","3742","2376","119"
"213","3749","2185","101"
"214","3879","2149","86"
"215","3912","2052","61"
"216","3915","1963","75"
"217","4048","1894","63"
"218","4012","1740","58"
"219","4098","1640","66"
"220","4240","1564","58"
"221","4178","1422","50"
"222","4344","1276","39"
"223","4362","1252","41"
"224","4446","1160","40"
"225","4633","1174","48"
"226","4577","966","35"
"227","4621","942","24"
"228","4675","872","34"
"229","4518","770","28"
"230","4355","764","28"
"231","4192","651","28"
"232","4179","609","16"
"233","3968","508","11"
"234","3492","492","8"
"235","3426","422","7"
"236","3144","397","8"
"237","2865","307","10"
"238","2558","261","10"
"239","2384","247","7"
"240","2150","212","8"
"241","1945","186","10"
"242","1596","145","5"
"243","1439","158","6"
"244","1265","117","6"
"245","1032","99","6"
"246","897","98","2"
"247","729","91","3"
"248","653","72","7"
"249","545","74","6"
"250","476","63","1"
"251","395","64","3"
"252","358","57","2"
"253","318","39","2"
"254","237","33","2"
"255","1322","159","14"
"Maen","125.34","124.68","94.81"
"STD","75.32","54.35","38.9"
